timestamp,expected_flow_balance,observed_flow_balance,inlet_pressure,outlet_pressure
0.000,100.0000,99.988473,52.495677,47.504323
0.500,100.0000,99.991895,52.519050,47.480950
1.000,100.0000,99.992992,52.465566,47.534434
1.500,100.0000,100.033781,52.497817,47.502183
2.000,100.0000,99.995430,52.508897,47.491103
2.500,100.0000,100.038551,52.536589,47.463411
3.000,100.0000,100.081262,52.511763,47.488237
3.500,100.0000,99.980006,52.485133,47.514867
4.000,100.0000,100.070689,52.544777,47.455223
4.500,100.0000,100.067783,52.510842,47.489158
5.000,100.0000,100.122010,52.478661,47.521339
5.500,100.0000,100.071039,52.528759,47.471241
6.000,100.0000,100.183970,52.511984,47.488016
6.500,100.0000,100.163810,52.525705,47.474295
7.000,100.0000,100.217345,52.493169,47.506831
7.500,100.0000,100.222772,52.484637,47.515363
8.000,100.0000,99.991727,52.508828,47.491172
8.500,100.0000,100.153506,52.547400,47.452600
9.000,100.0000,100.306779,52.496523,47.503477
9.500,100.0000,100.349688,52.503445,47.496555
10.000,100.0000,100.304635,52.522653,47.477347
10.500,100.0000,100.351672,52.551966,47.448034
11.000,100.0000,100.425900,52.541747,47.458253
11.500,100.0000,100.460428,52.546462,47.453538
12.000,100.0000,100.393149,52.518066,47.481934
12.500,100.0000,100.441828,52.549983,47.450017
13.000,100.0000,100.496746,52.597394,47.402606
13.500,100.0000,100.489723,52.513028,47.486972
14.000,100.0000,100.656406,52.577546,47.422454
14.500,100.0000,100.676163,52.564395,47.435605
15.000,100.0000,100.791679,52.542649,47.457351
15.500,100.0000,100.606647,52.533198,47.466802
16.000,100.0000,100.840642,52.511908,47.488092
16.500,100.0000,100.811997,52.555831,47.444169
17.000,100.0000,100.829911,52.569091,47.430909
17.500,100.0000,100.948367,52.610535,47.389465
18.000,100.0000,100.999111,52.538765,47.461235
18.500,100.0000,100.953002,52.534710,47.465290
19.000,100.0000,101.123342,52.542829,47.457171
19.500,100.0000,101.091495,52.577233,47.422767
20.000,100.0000,101.089893,52.552659,47.447341
20.500,100.0000,101.051776,52.534438,47.465562
21.000,100.0000,101.205582,52.573394,47.426606
21.500,100.0000,101.398969,52.564038,47.435962
22.000,100.0000,101.377410,52.570199,47.429801
22.500,100.0000,101.496768,52.589834,47.410166
23.000,100.0000,101.485802,52.543726,47.456274
23.500,100.0000,101.590480,52.580026,47.419974
24.000,100.0000,101.671003,52.571252,47.428748
24.500,100.0000,101.784023,52.564528,47.435472
25.000,100.0000,101.810387,52.577878,47.422122
25.500,100.0000,101.696999,52.548289,47.451711
