timestamp,expected_actuation_pressure,observed_actuation_pressure,valve_command
0.000,340.0000,340.450322,0.0
0.500,340.0000,340.131143,0.0
1.000,340.0000,338.860050,0.0
1.500,340.0000,338.622972,0.0
2.000,340.0000,338.709917,0.0
2.500,340.0000,338.168153,0.0
3.000,340.0000,338.446184,0.0
3.500,340.0000,341.421542,0.0
4.000,340.0000,338.293083,0.0
4.500,340.0000,340.475974,0.0
5.000,340.0000,339.572919,0.0
5.500,340.0000,344.191917,0.0
6.000,340.0000,337.904608,0.0
6.500,340.0000,340.939951,0.0
7.000,340.0000,340.199374,0.0
7.500,340.0000,339.593304,0.0
8.000,340.0000,341.272819,0.0
8.500,340.0000,341.083377,0.0
9.000,340.0000,339.296642,0.0
9.500,340.0000,341.589416,0.0
10.000,340.0000,341.583753,0.0
10.500,340.0000,343.014205,0.0
11.000,340.0000,340.185043,0.0
11.500,340.0000,343.355667,0.0
12.000,340.0000,340.904774,0.0
12.500,340.0000,338.285981,0.0
13.000,340.0000,342.084644,0.0
13.500,340.0000,341.227615,0.0
14.000,340.0000,340.076474,0.0
14.500,340.0000,342.849861,0.0
15.000,340.0000,340.792558,0.0
15.500,340.0000,343.075328,0.0
16.000,340.0000,341.475948,0.0
16.500,340.0000,342.775483,0.0
17.000,340.0000,342.719217,0.0
17.500,340.0000,342.459752,0.0
18.000,340.0000,340.251935,0.0
18.500,340.0000,343.229569,0.0
19.000,340.0000,341.932643,0.0
19.500,340.0000,344.953391,0.0
20.000,340.0000,422.718005,1.0
20.500,340.0000,423.176689,1.0
21.000,340.0000,420.952661,1.0
21.500,340.0000,341.540788,0.0
22.000,340.0000,342.345077,0.0
22.500,340.0000,340.494286,0.0
23.000,340.0000,340.544584,0.0
23.500,340.0000,342.187126,0.0
24.000,340.0000,342.283193,0.0
24.500,340.0000,342.753112,0.0
25.000,340.0000,344.175656,0.0
25.500,340.0000,341.949494,0.0
26.000,340.0000,343.621314,0.0
26.500,340.0000,342.433047,0.0
27.000,340.0000,342.408982,0.0
27.500,340.0000,343.135602,0.0
28.000,340.0000,339.698408,0.0
28.500,340.0000,342.949535,0.0
29.000,340.0000,341.942614,0.0
29.500,340.0000,341.555242,0.0
30.000,340.0000,340.169513,0.0
30.500,340.0000,342.385663,0.0
31.000,340.0000,340.283846,0.0
31.500,340.0000,344.455185,0.0
32.000,340.0000,342.841039,0.0
32.500,340.0000,340.726892,0.0
33.000,340.0000,342.289713,0.0
33.500,340.0000,344.482431,0.0
34.000,340.0000,342.507675,0.0
34.500,340.0000,343.028173,0.0
35.000,340.0000,342.946225,0.0
35.500,340.0000,343.357586,0.0
36.000,340.0000,341.050349,0.0
36.500,340.0000,343.581810,0.0
37.000,340.0000,342.862861,0.0
37.500,340.0000,348.180669,0.0
38.000,340.0000,343.480487,0.0
38.500,340.0000,343.166563,0.0
39.000,340.0000,345.382716,0.0
39.500,340.0000,343.715952,0.0
40.000,340.0000,344.380013,0.0
40.500,340.0000,342.738826,0.0
41.000,340.0000,346.432842,0.0
41.500,340.0000,343.208488,0.0
42.000,340.0000,344.763025,0.0
42.500,340.0000,345.948536,0.0
43.000,340.0000,343.843243,0.0
43.500,340.0000,344.349776,0.0
44.000,340.0000,345.279770,0.0
44.500,340.0000,345.474023,0.0
45.000,340.0000,342.864853,0.0
45.500,340.0000,344.822225,0.0
46.000,340.0000,343.181946,0.0
46.500,340.0000,343.531945,0.0
47.000,340.0000,343.727413,0.0
47.500,340.0000,346.573967,0.0
48.000,340.0000,347.194866,0.0
48.500,340.0000,348.758179,0.0
49.000,340.0000,344.815174,0.0
49.500,340.0000,343.687890,0.0
50.000,340.0000,423.545777,1.0
50.500,340.0000,427.461221,1.0
51.000,340.0000,422.792433,1.0
51.500,340.0000,344.674547,0.0
52.000,340.0000,344.350905,0.0
52.500,340.0000,347.874993,0.0
53.000,340.0000,343.779984,0.0
53.500,340.0000,347.002495,0.0
54.000,340.0000,347.370030,0.0
54.500,340.0000,345.199845,0.0
55.000,340.0000,346.198243,0.0
55.500,340.0000,343.241929,0.0
56.000,340.0000,345.467688,0.0
56.500,340.0000,345.327459,0.0
57.000,340.0000,341.830626,0.0
57.500,340.0000,346.373065,0.0
58.000,340.0000,346.332750,0.0
58.500,340.0000,343.309936,0.0
59.000,340.0000,343.781586,0.0
59.500,340.0000,344.826066,0.0
60.000,340.0000,345.206227,0.0
60.500,340.0000,345.590451,0.0
61.000,340.0000,344.662814,0.0
61.500,340.0000,344.638214,0.0
62.000,340.0000,346.659770,0.0
62.500,340.0000,345.537128,0.0
63.000,340.0000,346.139799,0.0
63.500,340.0000,346.005480,0.0
64.000,340.0000,347.085800,0.0
64.500,340.0000,346.218588,0.0
65.000,340.0000,347.792309,0.0
65.500,340.0000,346.704498,0.0
66.000,340.0000,347.933551,0.0
66.500,340.0000,348.520623,0.0
67.000,340.0000,344.509287,0.0
67.500,340.0000,348.132993,0.0
68.000,340.0000,349.474233,0.0
68.500,340.0000,345.391206,0.0
69.000,340.0000,346.852194,0.0
69.500,340.0000,346.414194,0.0
70.000,340.0000,347.661251,0.0
70.500,340.0000,347.829988,0.0
71.000,340.0000,346.096057,0.0
71.500,340.0000,349.118835,0.0
72.000,340.0000,345.914979,0.0
72.500,340.0000,347.042522,0.0
73.000,340.0000,348.835388,0.0
73.500,340.0000,350.280157,0.0
74.000,340.0000,346.631017,0.0
74.500,340.0000,348.623442,0.0
75.000,340.0000,347.830063,0.0
75.500,340.0000,345.176335,0.0
76.000,340.0000,346.167218,0.0
76.500,340.0000,345.842844,0.0
77.000,340.0000,346.945024,0.0
77.500,340.0000,347.124818,0.0
78.000,340.0000,347.841923,0.0
78.500,340.0000,349.766541,0.0
79.000,340.0000,348.533714,0.0
79.500,340.0000,351.929594,0.0
80.000,340.0000,427.634858,1.0
80.500,340.0000,429.233879,1.0
81.000,340.0000,428.721618,1.0
81.500,340.0000,350.409850,0.0
82.000,340.0000,347.631926,0.0
82.500,340.0000,349.517887,0.0
83.000,340.0000,350.743609,0.0
83.500,340.0000,347.268781,0.0
84.000,340.0000,348.287693,0.0
84.500,340.0000,349.206459,0.0
85.000,340.0000,347.847831,0.0
85.500,340.0000,347.237134,0.0
86.000,340.0000,351.349099,0.0
86.500,340.0000,348.305525,0.0
87.000,340.0000,351.301140,0.0
87.500,340.0000,347.987362,0.0
88.000,340.0000,348.489367,0.0
88.500,340.0000,350.045709,0.0
89.000,340.0000,348.590971,0.0
89.500,340.0000,347.601698,0.0
90.000,340.0000,347.920133,0.0
90.500,340.0000,349.459009,0.0
91.000,340.0000,348.100829,0.0
91.500,340.0000,349.282102,0.0
92.000,340.0000,345.814071,0.0
92.500,340.0000,348.412817,0.0
93.000,340.0000,349.029532,0.0
93.500,340.0000,348.581037,0.0
94.000,340.0000,347.909620,0.0
94.500,340.0000,348.124743,0.0
95.000,340.0000,349.605781,0.0
95.500,340.0000,351.780589,0.0
96.000,340.0000,347.502360,0.0
96.500,340.0000,349.235610,0.0
97.000,340.0000,351.165574,0.0
97.500,340.0000,350.251687,0.0
